id,properties_name,address,latitude,longitude,no_of_stations,no_of_hawkers,no_of_supermarkets,no_of_schools,no_of_preschools,no_of_parks,no_of_malls,price,size,no_of_bedrooms,no_of_bathrooms,property_type,year_of_built,leasing,plot ratio,rental,subdistrict
7375,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,970000,635,2,1,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
7376,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,748000,484,1,1,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
7377,Midwood,8 Hillview Rise,1.362862088,103.7634339,1,0,2,0,5,2,2,1499000,990,3,2,Condominium,0,99-year Leasehold,2.800064353,0,HILLVIEW
7378,The Shaughnessy,400 Miltonia Close,1.416345012,103.8468544,0,0,2,0,4,0,0,1850000,3288,5,4,Terraced House,2006,99-year Leasehold,0,0, 
7379,South Beach Residences,28 South Beach Road,1.294385184,103.8560298,5,0,4,0,5,2,5,3509600,1216,2,2,Condominium,2016,99-year Leasehold,4.199977116,0,CITY HALL
7380,Greenbank Park,2B Greenbank Park,1.347216213,103.7884909,0,0,0,0,1,0,0,14188000,11985,10,7,Detached House,1997,Freehold,0,0, 
7381,766 Bedok Reservoir View,766 Bedok Reservoir View,1.335998992,103.9362745,1,1,3,0,4,0,0,618000,1152,3,2,HDB Flat,1999,99-year Leasehold,0,0, 
7382,Woodsvale,19 Woodlands Drive 72,1.443805595,103.8047153,1,1,5,0,5,0,2,890000,1227,3,2,Condominium,2000,99-year Leasehold,2.8,0,WOODLANDS EAST
7383,Sanctuary Green,191 Tanjong Rhu Road,1.296749742,103.871405,0,0,0,0,0,0,0,1548000,1141,3,2,Condominium,2003,99-year Leasehold,2.80000848,3.03,TANJONG RHU
7384,The Woods,Westwood Avenue,1.352880013,103.6976714,0,0,1,0,5,2,1,2288000,4263,6,5,Terraced House,0,99-year Leasehold,0,0, 
7385,Eight Riversuites,10 Whampoa East,1.321615113,103.8643707,1,1,4,0,5,1,0,1268000,840,2,2,Condominium,2016,99-year Leasehold,3.5,3.97,BENDEMEER
7386,The Alps Residences,Tampines Avenue 10,1.364793209,103.9309791,0,0,1,0,1,0,0,1380000,1066,3,3,Condominium,2019,99-year Leasehold,2.800056193,3.48,TAMPINES WEST
7387,Jalan Ulu Sembawang,Jalan Ulu Sembawang,1.420470195,103.7914978,0,0,0,0,0,0,0,1200000,1270,3,2,Condominium,2008,Freehold,0,0,MANDAI WEST
7388,Vue 8 Residence,Pasir Ris Heights,1.382377149,103.9421749,0,0,2,0,5,1,1,1190000,1044,3,3,Condominium,2017,99-year Leasehold,2.100020612,2.93,PASIR RIS WEST
7389,19 Shelford Road,19 Shelford Road,1.326193125,103.812056,0,0,0,0,1,1,0,1180000,635,1,1,Condominium,1997,Freehold,1.4,0,HILLCREST
7390,20 Dover Crescent,20 Dover Crescent,1.306722574,103.7835241,1,0,5,0,5,2,2,388000,786,3,1,HDB Flat,1978,99-year Leasehold,0,0, 
7391,978C Buangkok Crescent,978C Buangkok Crescent,1.380015003,103.8787419,0,0,2,0,5,2,0,498000,1183,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
7392,Regent ville,2 Hougang Street 92,1.374152226,103.8783601,0,1,3,0,5,2,0,850000,980,2,2,Condominium,2000,99-year Leasehold,2.8,2.27,TRAFALGAR
7393,Lake Grande,2 Jurong Lake Link,1.345474491,103.7246234,1,2,3,0,5,0,0,1250000,743,2,1,Condominium,2020,99-year Leasehold,2.800011234,4.25,HONG KAH
7394,111 Emerald Hill,111 Emerald Hill,1.305041547,103.8391513,1,0,4,0,3,2,5,6400000,2411,4,5,Condominium,2012,Freehold,3.079617259,0,CAIRNHILL
7395,Southbank,881 North Bridge Road,1.306311852,103.8643085,2,2,5,0,5,4,2,1050000,592,1,1,Condominium,2009,99-year Leasehold,0,4.31,CRAWFORD
7396,70A Telok Blangah Heights,70A Telok Blangah Heights,1.27637531,103.8113719,0,2,1,0,5,2,0,910000,1001,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
7397,532 Jelapang Road,532 Jelapang Road,1.385021016,103.764558,0,0,4,0,5,0,3,850000,1539,3,2,HDB Flat,1997,99-year Leasehold,0,0, 
7398,Almost NEW 2. 5sty Modern SD Namly Drive,Namly Drive,1.324149802,103.7981732,0,0,0,0,4,1,0,9200000,6500,5,6,Semi-Detached House,2020,Freehold,0,0, 
7399,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,799999,624,2,1,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
7400,Clavon,8 Clementi Avenue 1,1.308512377,103.767086,0,1,2,0,4,2,1,1688888,1281,4,3,Condominium,0,99-year Leasehold,3.500033247,0,CLEMENTI WOODS
7401,Kingsford Hillview Peak,101 Hillview Rise,1.364786511,103.7647636,1,0,2,0,2,1,2,850000,603,1,1,Condominium,2016,99-year Leasehold,2.800015812,3.42,HILLVIEW
7402,443 Ang Mo Kio Avenue 10,443 Ang Mo Kio Avenue 10,1.366043889,103.855369,0,2,2,0,5,1,0,408000,882,2,2,HDB Flat,1979,99-year Leasehold,0,0, 
7403,Leedon Green,34 Leedon Heights,1.311463256,103.8031807,1,2,0,0,3,0,0,1355000,474,1,1,Condominium,0,Freehold,1.759999868,0,FARRER COURT
7404,Reflections at Keppel Bay,21 Keppel Bay View,1.265573736,103.8103167,1,0,0,0,0,1,0,8370000,3229,4,4,Condominium,2013,99-year Leasehold,0,4.09,MARITIME SQUARE
7405,Arc at Tampines,11 Tampines Avenue 8,1.350848737,103.9282938,0,0,1,0,3,0,0,1080000,1130,3,3,Executive Condominium,0,99-year Leasehold,2.8,0,TAMPINES WEST
7406,Esparina Residences,123 Compassvale Bow,1.381102998,103.8907502,1,0,2,0,5,0,1,1750000,1776,3,3,Executive Condominium,2014,99-year Leasehold,3,0,COMPASSVALE
7407,Whistler Grand,107 West Coast Vale,1.320031287,103.7540103,0,0,0,0,1,0,0,863200,517,1,1,Condominium,0,99-year Leasehold,2.800040834,0,WEST COAST
7408,The Amore,623 Punggol Central,1.400150452,103.9120443,0,0,5,0,5,1,2,999000,1001,3,2,Executive Condominium,2016,99-year Leasehold,3,0,WATERWAY EAST
7409,The Crest,101 Prince Charles Crescent,1.29269479,103.8204115,1,0,3,0,4,1,0,1720000,861,2,2,Condominium,2017,99-year Leasehold,2.100027748,4.31,ALEXANDRA NORTH
7410,Commonwealth Towers,232 Commonwealth Avenue,1.295463429,103.8065158,1,1,2,0,5,0,0,990000,474,1,1,Condominium,2017,99-year Leasehold,4.9,5.16,MARGARET DRIVE
7411,The Poiz Residences,12 Meyappa Chettiar Road,1.33154468,103.8669965,1,0,2,0,5,0,1,950000,527,1,1,Condominium,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
7412,The Poiz Residences,10 Meyappa Chettiar Road,1.331163262,103.8678698,1,0,2,0,5,1,1,1330000,775,2,2,Condominium,2018,99-year Leasehold,3.500006192,4.53,POTONG PASIR
7413,Normanton Park,59 Normanton Park,1.287028483,103.7916161,0,0,0,0,2,1,0,797000,646,2,1,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
7414,One Pearl Bank,1 Pearl Bank,1.282961487,103.8398146,2,0,1,0,3,2,0,1049000,431,1,1,Condominium,0,99-year Leasehold,8.192696982,2.16,PEARL'S HILL
7415,Parc Clematis,8E Jalan Lempeng,1.316401839,103.7596182,0,0,0,0,4,4,0,1190000,861,3,2,Condominium,0,99-year Leasehold,2.31,0,FABER
7416,7 1 LiveTour,Serangoon garden,1.360899227,103.8601477,0,1,0,0,2,2,0,5300944,5865,4,5,Semi-Detached House,2020,999-year Leasehold,0,0, 
7417,9 1 LiveTour,Serangoon garden estate,1.360899227,103.8601477,0,1,0,0,2,2,0,5860000,4983,5,6,Semi-Detached House,0,999-year Leasehold,0,0, 
7418,14 LiveTour,Holland Road,1.309929957,103.8055784,0,1,1,0,2,0,0,12800000,11000,7,7,Bungalow House,0,Freehold,0,0, 
7419,Stirling Residences,25 Stirling Road,1.291149506,103.8045736,0,2,3,0,2,0,3,1380000,657,2,1,Condominium,0,99-year Leasehold,4.200004737,0,MEI CHIN
7420,Serangoon Garden Estate,112 Cowdray Avenue,1.369457758,103.864076,0,2,1,0,3,1,1,7680000,7600,6,7,Detached House,0,Unknown Tenure,0,0, 
7421,Park Colonial,woodleigh lane,1.337764657,103.869423,2,0,1,0,2,0,0,900000,463,1,1,Condominium,0,99-year Leasehold,3.000015348,0,WOODLEIGH
7422,Serangoon garden Beautiful house,Berwick Dr,1.362086389,103.8596653,0,1,0,0,2,2,0,5200499,5500,5,6,Semi-Detached House,0,999-year Leasehold,0,0, 
7423,Twin Vew,91 West Coast Vale,1.320049382,103.7521613,0,0,0,0,1,0,0,1680000,1184,3,3,Condominium,0,99-year Leasehold,2.800046403,0,WEST COAST
7424,eCO,215 Bedok South Avenue 3,1.323800487,103.9453598,1,0,1,0,5,5,0,820000,624,1,1,Condominium,2017,99-year Leasehold,2.100019201,3.36,BEDOK SOUTH
7425,Merryn road,Merryn road,1.327524838,103.8220722,0,0,0,0,0,0,0,11000000,6200,5,5,Detached House,2000,Freehold,0,0, 
7426,488C Choa Chu Kang Avenue 5,488C Choa Chu Kang Avenue 5,1.376596783,103.7399496,0,0,3,0,5,0,2,599000,1216,3,2,HDB Flat,2015,99-year Leasehold,0,0, 
7427,Mon Jervois,39 Jervois Road,1.293516216,103.8222354,0,0,2,0,3,0,0,2188000,1034,2,2,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
7428,Normanton Park,53 Normanton Park,1.286006259,103.7917211,0,0,0,0,1,1,0,2000000,1615,5,4,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
7429,Helios Residences,15 Cairnhill Circle,1.306562597,103.8378007,3,0,4,0,2,1,3,3600000,1313,2,2,Apartment,2011,Freehold,2.8,4.29,CAIRNHILL
7430,Kingsford Waterbay,Upper Serangoon View,1.377433378,103.9037136,0,0,1,0,5,0,0,1398000,1055,4,3,Condominium,2018,99-year Leasehold,3.000013037,3.48,KANGKAR
7431,551 Hougang Street 51,551 Hougang Street 51,1.378488498,103.8907222,1,0,3,0,5,0,1,468000,1095,3,2,HDB Flat,1991,99-year Leasehold,0,0, 
7432,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,1540000,1410,4,3,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
7433,The Seawind,72 Lorong M Telok Kurau,1.310850917,103.9140567,0,0,1,0,5,3,0,1134882,642,1,1,Condominium,2015,Freehold,1.481299069,3.58,FRANKEL
7434,Bijou,2 Jalan Mat Jambol,1.276853864,103.7917422,1,1,1,0,0,1,0,1480000,721,1,1,Condominium,2018,Freehold,3,4.75,PASIR PANJANG 2
7435,Sengkang Grand Residences,78 Compassvale Bow,1.383451462,103.8919783,1,0,5,0,4,0,1,1430000,936,3,2,Condominium,0,99-year Leasehold,2.100019058,0,COMPASSVALE
7436,Riverfront Residences,45 Hougang Avenue 7,1.37088909,103.8996452,0,0,1,0,5,0,2,730000,689,2,1,Condominium,0,99-year Leasehold,3.080000054,0,KANGKAR
7437,Provence Residence,23 Canberra Crescent,1.447784713,103.8274513,2,0,3,0,5,1,2,1350000,1249,3,2,Executive Condominium,0,99-year Leasehold,2.484,0,SEMBAWANG EAST
7438,Provence Residence,23 Canberra Crescent,1.447784713,103.8274513,2,0,3,0,5,1,2,1087000,1044,3,2,Executive Condominium,0,99-year Leasehold,2.484,0,SEMBAWANG EAST
7439,Double Bay Residences,21 Simei Street 4,1.339983094,103.9572537,1,0,0,0,5,2,0,1450000,1378,3,3,Condominium,2012,99-year Leasehold,2.299995343,2.88,SIMEI
7440,Park Villas,Park Villas Green,1.368253121,103.8794928,0,0,1,0,5,3,0,2680000,4443,6,9,Terraced House,1998,99-year Leasehold,0,0, 
7441,Eight Riversuites,2 Whampoa East,1.321820407,103.8647441,1,2,3,0,5,1,0,2180000,1356,4,4,Condominium,2016,99-year Leasehold,3.5,3.97,BENDEMEER
7442,Dover Parkview,32 Dover Rise,1.306109721,103.7833599,1,0,3,0,4,1,0,1190000,969,2,2,Condominium,1997,99-year Leasehold,2.1,3.02,DOVER
7443,662B Edgedale Plains,662B Edgedale Plains,1.401721537,103.918691,0,0,5,0,5,1,1,420000,721,2,2,HDB Flat,2016,99-year Leasehold,0,0, 
7444,The Hillier,6 Hillview Rise,1.363033894,103.7641285,1,0,2,0,4,2,2,800000,593,1,1,Condominium,2016,99-year Leasehold,2.80006716,3.64,HILLVIEW
7445,Three Three Robin,33 Robin Road,1.316805803,103.8287992,1,0,1,0,3,1,0,3800000,1582,3,3,Apartment,2006,Freehold,1.6,0,NASSIM
7446,The Riverina,51 Riverina Crescent,1.380142673,103.9457358,0,0,1,0,5,1,1,1900000,3500,4,5,Terraced House,2001,99-year Leasehold,0,0, 
7447,Seahill,119 West Coast Crescent,1.298656689,103.7641136,0,1,1,0,2,2,0,980000,667,1,1,Condominium,2019,99-year Leasehold,2.800034748,3.83,CLEMENTI WEST
7448,Lakeville,11 Jurong Lake Link,1.345362278,103.7253739,2,2,3,0,4,0,0,2498000,1528,5,4,Condominium,2018,99-year Leasehold,2.800025048,3.62,HONG KAH
7449,Principal Garden,93 Prince Charles Crescent,1.292547476,103.8210826,0,0,0,0,1,0,0,1580000,807,2,2,Condominium,2019,99-year Leasehold,2.100038855,5.05,ALEXANDRA NORTH
7450,DUO Residences,1 Fraser Street,1.29916296,103.8578595,5,2,4,0,4,2,5,2142000,840,2,2,Apartment,2017,99-year Leasehold,6.228545555,5.5,BUGIS
7451,118 Bedok North Street 2,118 Bedok North Street 2,1.33043386,103.9374817,0,3,3,0,5,0,0,540000,1323,3,2,HDB Flat,1977,99-year Leasehold,0,0, 
7452,Affinity At Serangoon,Serangoon North Avenue 1,1.369950992,103.8723123,0,0,2,0,5,0,0,2398000,2347,5,5,Condominium,0,99-year Leasehold,3.079159945,0,SERANGOON GARDEN
7453,118A Jalan Membina,118A Jalan Membina,1.281420282,103.8256452,1,2,4,0,5,2,1,800000,980,3,2,HDB Flat,2001,99-year Leasehold,0,0, 
7454,Mon Jervois,39 Jervois Road,1.293516216,103.8222354,0,0,2,0,3,0,0,3999999,2368,3,3,Condominium,2016,99-year Leasehold,1.400089306,3.8,CHATSWORTH
7455,Myra,9 Meyappa Chettiar Road,1.330562504,103.867885,1,0,2,0,5,1,1,1368000,700,2,2,Condominium,0,Freehold,2.309996142,0,POTONG PASIR
7456,Myra,9 Meyappa Chettiar Road,1.330562504,103.867885,1,0,2,0,5,1,1,1368000,678,2,2,Condominium,0,Freehold,2.309996142,0,POTONG PASIR
7457,Myra,9 Meyappa Chettiar Road,1.330562504,103.867885,1,0,2,0,5,1,1,2738000,1324,4,4,Condominium,0,Freehold,2.309996142,0,POTONG PASIR
7458,Seastrand,1 Pasir Ris Link,1.376534024,103.960778,0,0,1,0,5,0,0,838000,883,2,2,Condominium,2014,99-year Leasehold,2.1,2.72,PASIR RIS PARK
7459,SeaSuites,252 Pasir Panjang Road,1.282420833,103.7831427,1,0,0,0,2,0,0,940000,549,1,1,Condominium,2016,Freehold,1.4,3.9,PASIR PANJANG 1
7460,Chateau La Salle,La Salle Street,1.319726343,103.919976,1,0,4,0,5,4,0,3830000,4929,6,5,Cluster House,2012,Freehold,0,0, 
7461,Siglap Road,Siglap Road,1.320253536,103.9205129,1,0,4,0,5,5,0,10800000,9990,10,,Detached House,0,Freehold,0,0, 
7462,Seletar Hills Estate,Jalan Bangau,1.383687875,103.8715896,0,0,1,0,5,4,1,4080068,3900,4,5,Terraced House,0,999-year Leasehold,0,0, 
7463,4 LiveTour,Tanjong Katong,1.316544676,103.8942894,2,4,5,0,5,3,5,6386006,2442,5,6,Semi-Detached House,0,Freehold,0,0, 
7464,City Gate,371 Beach Road,1.302347543,103.86226,2,3,3,0,4,3,2,1488000,680,2,2,Apartment,2019,99-year Leasehold,5.3,3.93,CRAWFORD
7465,4B Boon Tiong Road,4B Boon Tiong Road,1.286588783,103.8319503,1,4,5,0,5,2,1,860000,1076,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
7466,73A Redhill Road,73A Redhill Road,1.28793757,103.8167909,1,4,3,0,5,1,0,880000,1238,3,2,HDB Flat,2004,99-year Leasehold,0,0, 
7467,CITYSCAPE @FARRER PARK,101 Mergui Road,1.318021994,103.8515937,1,1,1,0,5,0,2,1950000,1378,3,3,Condominium,2015,Freehold,2.8,3.03,KAMPONG JAVA
7468,Waterview,91 Tampines Avenue 1,1.349568059,103.9265213,0,0,1,0,5,0,0,1495000,1324,4,4,Condominium,2013,99-year Leasehold,2.100005041,2.7,TAMPINES WEST
7469,28B Dover Crescent,28B Dover Crescent,1.305443973,103.781869,0,0,3,0,2,0,0,765000,947,3,2,HDB Flat,2009,99-year Leasehold,0,0, 
7470,THE LINE @ TANJONG RHU,6 Tanjong Rhu Road,1.298437301,103.884408,0,1,0,0,5,3,0,5460000,2325,4,4,Condominium,2016,Freehold,2.47261331,4.1,TANJONG RHU
7471,311C Anchorvale Lane,311C Anchorvale Lane,1.391571274,103.8844362,0,0,1,0,4,0,0,620000,1194,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
7472,Riverfront Residences,57 Hougang Avenue 7,1.370686993,103.9001588,0,0,0,0,4,0,0,2091000,1485,4,4,Condominium,0,99-year Leasehold,3.080000054,0,KANGKAR
7473,The Vermont On Cairnhill,12 Cairnhill Rise,1.308590937,103.8386742,0,0,1,0,2,0,2,4250000,1711,4,4,Apartment,2014,Freehold,2.8,4.34,CAIRNHILL
7474,Lentor Grove,Lentor Grove,1.386384629,103.8383359,0,0,0,0,2,5,0,4250000,2500,4,3,Semi-Detached House,1985,Freehold,0,0, 
7475,128 Bedok Reservoir Road,128 Bedok Reservoir Road,1.333346097,103.9113441,2,1,2,0,5,0,0,530000,1313,3,2,HDB Flat,1986,99-year Leasehold,0,0, 
7476,311C Anchorvale Lane,311C Anchorvale Lane,1.391571274,103.8844362,0,0,1,0,4,0,0,620000,1196,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
7477,The Vermont On Cairnhill,12 Cairnhill Rise,1.308590937,103.8386742,0,0,1,0,2,0,2,3299999,1335,3,3,Apartment,2014,Freehold,2.8,4.34,CAIRNHILL
7478,2 Upper Aljunied Lane,2 Upper Aljunied Lane,1.333989533,103.8789635,0,0,3,0,5,5,0,278000,614,2,1,HDB Flat,1968,99-year Leasehold,0,0, 
7479,Parc Oasis,53 Jurong East Avenue 1,1.344190704,103.7333618,1,3,2,0,5,0,0,1099999,1076,2,3,Condominium,1995,99-year Leasehold,2,2.32,YUHUA WEST
7480,Watercolours,27 Pasir Ris Link,1.375830331,103.9594822,0,0,1,0,5,0,1,850000,958,3,2,Executive Condominium,2016,99-year Leasehold,2.1,0,PASIR RIS PARK
7481,Modern Namly With Lift,Namly,1.324271589,103.7967778,0,0,0,0,4,1,0,15000000,7000,5,6,Detached House,0,Freehold,0,0, 
7482,Greenleaf Divisible Bungalow,Greenleaf,1.322293207,103.7880751,0,0,1,0,1,1,0,11500000,4000,4,4,Detached House,0,Freehold,0,0, 
7483,1. 4 plot Divisible Coronation Area,Coronation,1.323301144,103.8105278,3,1,4,0,5,4,0,21000000,5500,5,5,Detached House,0,Freehold,0,0, 
7484,652B Jurong West Street 61,652B Jurong West Street 61,1.336642207,103.6979897,1,1,3,0,5,1,1,530000,1184,3,2,HDB Flat,2000,99-year Leasehold,0,0, 
7485,Trilive,115 Tampines Road,1.36227689,103.8913291,0,0,2,0,5,2,0,1898888,1163,4,3,Condominium,2018,Freehold,2.1,3.31,LORONG AH SOO
7486,10,Serangoon Garden Estate,1.360899227,103.8601477,0,1,0,0,2,2,0,6950000,6200,6,7,Corner Terrace,0,Unknown Tenure,0,0, 
7487,Riviera Residences,11 Riviera Drive,1.315698104,103.9426957,0,0,2,0,5,2,0,1950000,1216,3,3,Condominium,2007,Freehold,1.4,0,BEDOK SOUTH
7488,Hilltops,99 Cairnhill Circle,1.307333225,103.8384806,0,0,2,0,2,1,3,9000000,2465,4,4,Condominium,2011,Freehold,3.96073184,5.99,CAIRNHILL
7489,Hilltops,99 Cairnhill Circle,1.307333225,103.8384806,0,0,2,0,2,1,3,5700000,1711,3,2,Condominium,2011,Freehold,3.96073184,5.99,CAIRNHILL
7490,Vida,5 Peck Hay Road,1.308685515,103.8390814,2,1,0,0,2,0,0,1200000,517,1,1,Apartment,2009,Freehold,1.4,4.93,FRANKEL
7491,Aquarius By The Park,7 Bedok Reservoir View,1.338875671,103.9355691,2,0,0,0,2,0,0,1165000,1227,3,3,Condominium,2000,99-year Leasehold,2.100009681,2.45,BEDOK RESERVOIR
7492,Li Hwan Drive,Li Hwan Drive,1.356120569,103.863721,1,0,0,0,5,5,0,4000000,3500,5,4,Corner Terrace,2007,Freehold,0,0, 
7493,Forestville,22 Woodlands Drive 16,1.431685133,103.7991629,0,0,2,0,5,0,1,950000,1087,3,2,Executive Condominium,2016,99-year Leasehold,2.8,0,WOODLANDS SOUTH
7494,9 2 LiveTour,Harvey View,1.341295549,103.9540095,1,0,1,0,5,2,1,4880000,6039,6,5,Corner Terrace,1991,Freehold,0,0, 
7495,82 Commonwealth Close,82 Commonwealth Close,1.304220501,103.8004002,1,2,1,0,5,0,0,300000,646,2,2,HDB Flat,1964,99-year Leasehold,0,0, 
7496,Parc Vista,458 Corporation Road,1.343974785,103.7168862,1,1,2,0,5,2,1,1150000,1270,3,3,Condominium,2000,99-year Leasehold,2.8,2.28,HONG KAH
7497,Hillview Regency,26 Bukit Batok East Avenue 2,1.352137547,103.7593549,0,2,2,0,5,2,0,930000,1119,2,2,Condominium,2005,99-year Leasehold,2.799994722,2.34,GUILIN
7498,102 Rivervale Walk,102 Rivervale Walk,1.38180761,103.9008932,0,0,3,0,5,0,1,679999,1518,4,2,HDB Flat,1998,99-year Leasehold,0,0, 
7499,661B Edgedale Plains,661B Edgedale Plains,1.402485648,103.9167514,0,0,5,0,5,1,1,529999,1000,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
7500,274A Compassvale Bow,274A Compassvale Bow,1.381553554,103.8905631,1,0,2,0,5,0,1,560000,990,3,2,HDB Flat,2016,99-year Leasehold,0,0, 
7501,Pavilion 11,23 Akyab Road,1.324586021,103.8481734,0,2,3,0,5,0,2,5940000,4220,4,4,Condominium,2010,Freehold,2.8,3.2,BALESTIER
7502,Bayshore Park,50 Bayshore Road,1.312149584,103.9374683,0,0,0,0,4,0,0,1080000,936,2,2,Condominium,1986,99-year Leasehold,2.8,2.51,BAYSHORE
7503,THE VENUE RESIDENCES,6 Tai Thong Crescent,1.32884034,103.8690446,1,0,1,0,5,2,1,1400000,840,2,2,Apartment,2017,99-year Leasehold,3.500115849,3.76,SENNETT
7504,Nathan Place,16 Nathan Road,1.295373681,103.8262064,0,1,4,0,5,0,1,1338000,732,1,1,Condominium,2006,Freehold,1.4,0,CHATSWORTH
7505,Echelon,9 Alexandra View,1.290606945,103.8178669,1,1,2,0,5,0,0,2480000,1475,3,3,Condominium,2016,99-year Leasehold,4.900026124,4.53,REDHILL
7506,Just TOP! New Smart Home facing Greenery! Call Jean 97972098 now,Hua Guan,1.336992537,103.7850405,1,0,2,0,4,1,0,9500000,6425,5,5,Semi-Detached House,0,999-year Leasehold,0,0, 
7507,Robin Suites,25 Robin Road,1.317691725,103.8287695,1,0,1,0,5,1,0,2880000,1722,3,2,Apartment,2016,Freehold,2.1,5.3,NASSIM
7508,E MAISON,28 Braddell Road,1.343282867,103.8692173,1,0,0,0,5,2,0,820000,581,1,1,Apartment,2016,Freehold,1.4,2.83,LORONG CHUAN
7509,One Meyer,1 Meyer Place,1.298240182,103.8861636,0,1,0,0,5,4,0,2359000,926,3,2,Condominium,0,Freehold,2.30959371,0,MOUNTBATTEN
7510,The Viridian,6 Jalan Ampas,1.326010519,103.8516268,0,2,4,0,5,1,1,840000,527,1,1,Condominium,2014,Freehold,3.079982987,4.17,BALESTIER
7511,475D Upper Serangoon Crescent,475D Upper Serangoon Crescent,1.375182544,103.900406,0,0,1,0,5,0,0,500000,721,2,2,HDB Flat,2014,99-year Leasehold,0,0, 
7512,Meyer Mansion,79 Meyer Road,1.296472195,103.8910346,0,0,0,0,5,5,0,3490000,1496,3,4,Condominium,0,Freehold,3.079999747,0,MOUNTBATTEN
7513,Symphony Suites,15 Yishun Close,1.435106556,103.8449498,0,0,4,0,5,0,1,765000,689,2,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
7514,Symphony Suites,21 Yishun Close,1.435759355,103.844351,0,0,4,0,5,0,1,899999,786,3,2,Condominium,0,99-year Leasehold,2.800017515,2.84,YISHUN EAST
7515,Orange Grove Residences,27 Orange Grove Road,1.312906599,103.825216,1,0,0,0,3,0,0,4788889,2390,4,4,Condominium,2009,Freehold,1.4,3.45,NASSIM
7516,116 Serangoon North Avenue 1,116 Serangoon North Avenue 1,1.36848757,103.8715887,0,0,1,0,5,0,0,650000,1302,3,2,HDB Flat,1984,99-year Leasehold,0,0, 
7517,898 Tampines Street 81,898 Tampines Street 81,1.347281172,103.934757,1,0,2,0,5,0,0,378000,796,2,2,HDB Flat,1987,99-year Leasehold,0,0, 
7518,LA MARIPOSA,MANGIS ROAD,1.313641082,103.9036964,0,2,4,0,5,2,0,2401000,1345,4,3,Condominium,0,22h,1.539998374,0,GEYLANG EAST
7519,526B Pasir Ris Street 51,526B Pasir Ris Street 51,1.367892757,103.9470327,1,1,2,0,5,0,0,578000,1001,3,2,HDB Flat,2014,99-year Leasehold,0,0, 
7520,Normanton Park,45 Normanton Park,1.287349679,103.7930563,0,0,0,0,2,1,0,1479900,968,3,2,Condominium,0,99-year Leasehold,2.30999989,1.99,KENT RIDGE
7521,Sengkang Grand Residences,72 Compassvale Bow,1.382127322,103.8924896,1,0,4,0,5,0,0,834400,474,1,1,Condominium,0,99-year Leasehold,2.100019058,0,COMPASSVALE
7522,Treasure at Tampines,Tampines Street 11,1.348329155,103.9484307,2,1,5,0,5,0,3,889000,592,2,1,Condominium,0,99-year Leasehold,3.079999969,0,TAMPINES EAST
7523,410 Pasir Ris Drive 6,410 Pasir Ris Drive 6,1.372816371,103.9539335,1,1,3,0,5,2,1,830000,1600,4,3,HDB Flat,1989,99-year Leasehold,0,0, 
7524,Stunning landed home at Sunset area. Perfect family home!,Sunset Terrace,1.324714644,103.7670211,0,0,1,0,1,4,0,8500000,6781,5,4,Corner Terrace,0,Freehold,0,0, 
7525,406C Fernvale Road,406C Fernvale Road,1.388679048,103.8747026,0,0,4,0,5,3,2,448000,1001,3,2,HDB Flat,2003,99-year Leasehold,0,0, 
7526,Riverside Melodies,26A Saint Michael's Road,1.327308328,103.8644768,0,0,0,0,5,1,0,2400000,1421,2,2,Apartment,2013,Freehold,2.8,0,BENDEMEER
7527,Ava Towers,10 Ava Road,1.322225302,103.8517749,0,2,3,0,5,0,0,1880000,1281,3,2,Apartment,1993,Freehold,2.8,2.31,BALESTIER
7528,TIONG BAHRU ESTATE,81 Tiong Poh Road,1.282596694,103.8328788,2,1,2,0,5,2,0,1100000,951,1,2,Walk-up Apartment,1967,99-year Leasehold,1,3.77,TIONG BAHRU
7529,Chelsea Grove,2 Martaban Road,1.324040761,103.8510809,0,2,4,0,5,0,1,1250000,990,2,2,Apartment,2007,Freehold,3,0,BALESTIER
7530,Almond Crescent,Almond Crescent,1.373251434,103.7721189,0,1,1,0,5,4,0,4500000,4040,5,7,Bungalow House,0,99-year Leasehold,0,0, 
